Match File,Evasion File,Field,Match Value,Evasion Value,TrivialChange
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,related,"{'user': 'SYSTEM', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}","{'user': 'client3', 'hash': ['452fa961163ef4aee4815796a13ab2cf', '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,related,"{'user': 'SYSTEM', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}","{'user': 'client3', 'hash': ['edc79826e21859e93a875dfc087606c5', 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,related,"{'user': 'SYSTEM', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}","{'user': 'SYSTEM', 'hash': ['a25c33fb549d90018dbeec40bb07d543', '472168cf54a123ba0fc585b4b5fedbb60562b81b3ada7616ce9ca77ddb5c4914']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,related,"{'hash': ['d378bffb70923139d6a4f546864aa61c', 'c4232ddd4d37b9c0884bd44d8476578c54d7f98d58945728e425736a6a07e102'], 'user': 'breach'}","{'user': 'client2', 'hash': ['3d7d2e825c63ff501e896cf008c70d75', '037fc52b8fc6089338eb456f2b45638ed36c42a4dca7ace391d166b2329838a1']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,related,"{'hash': ['d378bffb70923139d6a4f546864aa61c', 'c4232ddd4d37b9c0884bd44d8476578c54d7f98d58945728e425736a6a07e102'], 'user': 'breach'}","{'user': 'SYSTEM', 'hash': ['94c08df0f07c509d99fea7cfc486c335', '0aae40d7b5d57aed2a897161601a08123e64088033b03527dc1ba2b55e7a4e9a']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,related,"{'hash': ['d378bffb70923139d6a4f546864aa61c', 'c4232ddd4d37b9c0884bd44d8476578c54d7f98d58945728e425736a6a07e102'], 'user': 'breach'}","{'user': 'SYSTEM', 'hash': ['73dcb33604ab86bcd4caa90346d73b49', 'db47a54ac39c5831f4fa8b678b5738b6bd304f6002d9fc0256f055abe7a9d969']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,related,"{'user': 'SYSTEM', 'hash': ['6d13e1406f50c66e2a95d97f22c47560', 'be40e84a824cb201f9c54db4f860f3937630fda3423940d44fcf4ac5dff44271']}","{'user': 'setup', 'hash': ['40d777b7a95e00593eb1568c68514493', '0a8ce026714e03e72c619307bd598add5f9b639cfd91437cb8d9c847bf9f6894']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,related,"{'user': 'SYSTEM', 'hash': ['6d13e1406f50c66e2a95d97f22c47560', 'be40e84a824cb201f9c54db4f860f3937630fda3423940d44fcf4ac5dff44271']}","{'hash': ['923fe895b22b22a9ca03c72f3d15ce20', '98b7f5b40c557775cd645ca69b788fe4a3deae25cdb6e5dd4fb94db1bdc10969'], 'user': 'client3'}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,related,"{'user': 'SYSTEM', 'hash': ['6d13e1406f50c66e2a95d97f22c47560', 'be40e84a824cb201f9c54db4f860f3937630fda3423940d44fcf4ac5dff44271']}","{'hash': ['54a47f6b5e09a77e61649109c6a08866', '121118a0f5e0e8c933efd28c9901e54e42792619a8a3a6d11e1f0025a7324bc2'], 'user': 'SYSTEM'}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,related,"{'user': 'SYSTEM', 'hash': ['0d17999868f2768b1b050cb051884110', 'e72f5dba2a177397403965a3352f0cc45ec46a568a53d5ef4535fbba18e73023']}","{'user': 'LOCAL SERVICE', 'hash': ['54a47f6b5e09a77e61649109c6a08866', '121118a0f5e0e8c933efd28c9901e54e42792619a8a3a6d11e1f0025a7324bc2']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,related,"{'user': 'SYSTEM', 'hash': ['0d17999868f2768b1b050cb051884110', 'e72f5dba2a177397403965a3352f0cc45ec46a568a53d5ef4535fbba18e73023']}","{'hash': ['d355e37797728119590b404fc834c0f3', '45005980af153f62aa1cb8ff4c72bafddccf95d94a05e26b0a35416efdf2174a'], 'user': 'SYSTEM'}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,related,"{'user': 'SYSTEM', 'hash': ['0d17999868f2768b1b050cb051884110', 'e72f5dba2a177397403965a3352f0cc45ec46a568a53d5ef4535fbba18e73023']}","{'user': 'client1', 'hash': ['cc3ac75ddbfaa6d4ccbb0afad7eb759d', '3d98a354f1329bfeb17216d2391d6e9c04f6873b6e491bce9734c02c26574b3d']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,related,"{'user': 'SYSTEM', 'hash': ['0d17999868f2768b1b050cb051884110', 'e72f5dba2a177397403965a3352f0cc45ec46a568a53d5ef4535fbba18e73023']}","{'user': 'SYSTEM', 'hash': ['54a47f6b5e09a77e61649109c6a08866', '121118a0f5e0e8c933efd28c9901e54e42792619a8a3a6d11e1f0025a7324bc2']}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,related,"{'user': 'SYSTEM', 'hash': ['0d17999868f2768b1b050cb051884110', 'e72f5dba2a177397403965a3352f0cc45ec46a568a53d5ef4535fbba18e73023']}","{'hash': ['1234a12b71dae034e45c714ae5a54412', '079e6bc834f38322ed5ed76295ec3961ed894084ef5cb171dffbd9b3822cc78d'], 'user': 'SYSTEM'}",False
