Match Value,Evasion Value
2021-02-04T22:27:34.187Z,2021-02-04T22:29:15.652Z
"{'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6', 'md5': '3ef0d8ab08385aab5802e773511a2e6a'}","{'md5': '452fa961163ef4aee4815796a13ab2cf', 'sha256': '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7'}"
"{'user': 'SYSTEM', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}","{'user': 'client3', 'hash': ['452fa961163ef4aee4815796a13ab2cf', '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7']}"
"{'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:31:13.046Z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process']}","{'category': ['process'], 'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:31:13.178Z', 'module': 'sysmon', 'type': ['start', 'process_start']}"
"{'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'name': 'CLIENT', 'hostname': 'CLIENT3', 'architecture': 'x86', 'os': {'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'Windows 7 Professional'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103']}","{'os': {'family': 'windows', 'name': 'Windows 7 Professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103'], 'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'name': 'CLIENT3.breach.local', 'hostname': 'CLIENT3', 'architecture': 'x86'}"
"Process Create:
RuleName: 
UtcTime: 2021-02-04 22:27:34.187
ProcessGuid: {19FC45AC-74D6-601C-0000-0010D56D0300}
ProcessId: 2724
Image: C:\Windows\System32\LogonUI.exe
FileVersion: 6.1.7601.17514 (win7sp1_rtm.101119-1850)
Description: Windows Logon User Interface Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: logonui.exe
CommandLine: ""LogonUI.exe"" /flags:0x0
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {19FC45AC-74C4-601C-0000-0020E7030000}
LogonId: 0x3e7
TerminalSessionId: 1
IntegrityLevel: System
Hashes: MD5=3EF0D8AB08385AAB5802E773511A2E6A,SHA256=1A7EE4BC646767004372EAEA9BC0A2071790E739101F7D25ECD9C95D3F29AFD6
ParentProcessGuid: {19FC45AC-74C3-601C-0000-0010355C0000}
ParentProcessId: 384
ParentImage: C:\Windows\System32\winlogon.exe
ParentCommandLine: winlogon.exe","Process Create:
RuleName: 
UtcTime: 2021-02-04 22:29:15.652
ProcessGuid: {19FC45AC-753B-601C-0000-00100F990200}
ProcessId: 2356
Image: C:\Program Files\Adobe\Reader 9.0\Reader\reader_sl.exe
FileVersion: 9.1.0.2009022700
Description: Adobe Acrobat SpeedLauncher
Product: Adobe Acrobat
Company: Adobe Systems Incorporated
OriginalFileName: AcroSpeedLaunch.exe
CommandLine: ""C:\Program Files\Adobe\Reader 9.0\Reader\reader_sl.exe"" 
CurrentDirectory: C:\Windows\system32\
User: BREACH\client3
LogonGuid: {19FC45AC-753A-601C-0000-0020AE510200}
LogonId: 0x251ae
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=452FA961163EF4AEE4815796A13AB2CF,SHA256=14DC422082F96F5C21C41A5E5F6E8445547CC4B02B18F0A86A34669CA2CE18A7
ParentProcessGuid: {19FC45AC-753B-601C-0000-001083660200}
ParentProcessId: 2096
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\Windows\Explorer.EXE"
"{'entity_id': '{19FC45AC-74D6-601C-0000-0010D56D0300}', 'command_line': 'esentutl.exe /m C:\\Users\\<user>\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat /vssrec V01 .', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'entity_id': '{19FC45AC-74C3-601C-0000-0010355C0000}', 'pid': 384, 'executable': 'C:\\Windows\\System32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}, 'name': 'LogonUI.exe', 'hash': {'md5': '3ef0d8ab08385aab5802e773511a2e6a', 'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6'}, 'pid': 2724, 'executable': 'C:\\Windows\\System32\\esentutl.exe', 'args': ['LogonUI.exe', '/flags:0x0']}","{'pid': 2356, 'working_directory': 'C:\\Windows\\system32\\', 'name': 'reader_sl.exe', 'args': ['C:\\Program Files\\Adobe\\Reader 9.0\\Reader\\reader_sl.exe'], 'hash': {'md5': '452fa961163ef4aee4815796a13ab2cf', 'sha256': '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7'}, 'entity_id': '{19FC45AC-753B-601C-0000-00100F990200}', 'executable': 'C:\\Windows\\System32\\esentutl.exe', 'command_line': 'esentutl.exe /""m"" C:\\Users\\<user>\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat /v""ss""rec V01 .', 'parent': {'entity_id': '{19FC45AC-753B-601C-0000-001083660200}', 'pid': 2096, 'executable': 'C:\\Windows\\explorer.exe', 'command_line': 'C:\\Windows\\Explorer.EXE', 'name': 'explorer.exe', 'args': ['C:\\Windows\\Explorer.EXE']}}"
"{'domain': 'NT AUTHORITY', 'name': 'SYSTEM'}","{'domain': 'BREACH', 'name': 'client3'}"
"{'task': 'Process Create (rule: ProcessCreate)', 'event_data': {'FileVersion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'Product': 'Microsoft® Windows® Operating System', 'LogonGuid': '{19FC45AC-74C4-601C-0000-0020E7030000}', 'LogonId': '0x3e7', 'IntegrityLevel': 'System', 'TerminalSessionId': '1', 'Company': 'Microsoft Corporation', 'Description': 'Windows Logon User Interface Host', 'OriginalFileName': 'logonui.exe'}, 'event_id': 1, 'computer_name': 'CLIENT', 'opcode': 'Info', 'version': 5, 'record_id': 1199, 'user': {'domain': 'NT AUTHORITY', 'type': 'User', 'identifier': 'S-1-5-18', 'name': 'SYSTEM'}, 'provider_name': 'Microsoft-Windows-Sysmon', 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'channel': 'Microsoft-Windows-Sysmon/Operational', 'api': 'wineventlog', 'process': {'pid': 1692, 'thread': {'id': 1064}}}","{'channel': 'Microsoft-Windows-Sysmon/Operational', 'event_id': 1, 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'user': {'identifier': 'S-1-5-18', 'name': 'SYSTEM', 'domain': 'NT AUTHORITY', 'type': 'User'}, 'provider_name': 'Microsoft-Windows-Sysmon', 'record_id': 1299, 'opcode': 'Info', 'event_data': {'Product': 'Adobe Acrobat', 'Company': 'Adobe Systems Incorporated', 'LogonId': '0x251ae', 'TerminalSessionId': '1', 'LogonGuid': '{19FC45AC-753A-601C-0000-0020AE510200}', 'FileVersion': '9.1.0.2009022700', 'Description': 'Adobe Acrobat SpeedLauncher', 'OriginalFileName': 'AcroSpeedLaunch.exe', 'IntegrityLevel': 'Medium'}, 'process': {'thread': {'id': 1812}, 'pid': 1536}, 'version': 5, 'task': 'Process Create (rule: ProcessCreate)', 'api': 'wineventlog', 'computer_name': 'CLIENT3.breach.local'}"
2021-02-04T22:27:34.187Z,2021-02-04T22:36:26.218Z
