Match File,Evasion File,Field,Match Value,Evasion Value,TrivialChange
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,@timestamp,2021-02-04T22:27:34.187Z,2021-02-04T22:29:15.652Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,hash,"{'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6', '","{'md5': '452fa961163ef4aee4815796a13ab2cf', 'sha256': '14dc422082f96f5c21c41a5e5",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,related,"{'user': 'SYSTEM', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc6467670","{'user': 'client3', 'hash': ['452fa961163ef4aee4815796a13ab2cf', '14dc422082f96f",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,event,"{'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': '","{'category': ['process'], 'kind': 'event', 'code': 1, 'provider': 'Microsoft-Win",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,host,"{'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '0","{'os': {'family': 'windows', 'name': 'Windows 7 Professional', 'kernel': '6.1.76",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,message,"Process Create:
RuleName: 
UtcTime: 2021-02-04 22:27:34.187
ProcessGuid: {19FC45","Process Create:
RuleName: 
UtcTime: 2021-02-04 22:29:15.652
ProcessGuid: {19FC45",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,process,"{'entity_id': '{19FC45AC-74D6-601C-0000-0010D56D0300}', 'command_line': 'esentut","{'pid': 2356, 'working_directory': 'C:\\Windows\\system32\\', 'name': 'reader_sl",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,user,"{'domain': 'NT AUTHORITY', 'name': 'SYSTEM'}","{'domain': 'BREACH', 'name': 'client3'}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,winlog,"{'task': 'Process Create (rule: ProcessCreate)', 'event_data': {'FileVersion': '","{'channel': 'Microsoft-Windows-Sysmon/Operational', 'event_id': 1, 'provider_gui",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,@timestamp,2021-02-04T22:27:34.187Z,2021-02-04T22:36:26.218Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,hash,"{'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6', '","{'md5': 'edc79826e21859e93a875dfc087606c5', 'sha256': 'd61ddea87b2483612caeb0f35",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,agent,"{'name': 'CLIENT3', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'CLIE","{'hostname': 'CLIENT3', 'ephemeral_id': '177650cc-629c-4abf-8b93-a90e2e515251', ",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,related,"{'user': 'SYSTEM', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc6467670","{'user': 'client3', 'hash': ['edc79826e21859e93a875dfc087606c5', 'd61ddea87b2483",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,event,"{'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': '","{'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:38:",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,host,"{'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '0","{'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,message,"Process Create:
RuleName: 
UtcTime: 2021-02-04 22:27:34.187
ProcessGuid: {19FC45","Process Create:
RuleName: 
UtcTime: 2021-02-04 22:36:26.218
ProcessGuid: {19FC45",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,process,"{'entity_id': '{19FC45AC-74D6-601C-0000-0010D56D0300}', 'command_line': 'esentut","{'pid': 1696, 'command_line': 'cmd /c copy \\\\?\\GLOBALROOT\\Device\\HarddiskVo",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,user,"{'domain': 'NT AUTHORITY', 'name': 'SYSTEM'}","{'domain': 'BREACH', 'name': 'client3'}",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,winlog,"{'task': 'Process Create (rule: ProcessCreate)', 'event_data': {'FileVersion': '","{'channel': 'Microsoft-Windows-Sysmon/Operational', 'event_id': 1, 'provider_nam",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,@timestamp,2021-02-04T22:27:34.187Z,2021-02-04T22:36:26.281Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,hash,"{'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6', '","{'md5': 'a25c33fb549d90018dbeec40bb07d543', 'sha256': '472168cf54a123ba0fc585b4b",False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,agent,"{'name': 'CLIENT3', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'CLIE","{'hostname': 'CLIENT3', 'ephemeral_id': '177650cc-629c-4abf-8b93-a90e2e515251', ",False
