Pair Index,Match Cmd,Evasion Cmd,Equivalent
0,2021-02-04t22:27:34.187z,2021-02-04t22:29:15.652z,False
1,"{'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6', 'md5': '3ef0d8ab08385aab5802e773511a2e6a'}","{'md5': '452fa961163ef4aee4815796a13ab2cf', 'sha256': '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7'}",False
2,"{'user': 'system', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}","{'user': 'client3', 'hash': ['452fa961163ef4aee4815796a13ab2cf', '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7']}",False
3,"{'kind': 'event', 'code': 1, 'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:31:13.046z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process']}","{'category': ['process'], 'kind': 'event', 'code': 1, 'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:31:13.178z', 'module': 'sysmon', 'type': ['start', 'process_start']}",False
4,"{'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'name': 'client', 'hostname': 'client3', 'architecture': 'x86', 'os': {'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'windows 7 professional'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103']}","{'os': {'family': 'windows', 'name': 'windows 7 professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103'], 'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'name': 'client3.breach.local', 'hostname': 'client3', 'architecture': 'x86'}",False
5,"""logonui.exe"" /flags:0x0","""c:\program files\adobe\reader 9.0\reader\reader_sl.exe""",False
6,"{'entity_id': '{19fc45ac-74d6-601c-0000-0010d56d0300}', 'command_line': 'esentutl.exe /m c:\\users\\<user>\\appdata\\local\\microsoft\\windows\\webcache\\webcachev01.dat /vssrec v01 .', 'working_directory': 'c:\\windows\\system32\\', 'parent': {'entity_id': '{19fc45ac-74c3-601c-0000-0010355c0000}', 'pid': 384, 'executable': 'c:\\windows\\system32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}, 'name': 'logonui.exe', 'hash': {'md5': '3ef0d8ab08385aab5802e773511a2e6a', 'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6'}, 'pid': 2724, 'executable': 'c:\\windows\\system32\\esentutl.exe', 'args': ['logonui.exe', '/flags:0x0']}","{'pid': 2356, 'working_directory': 'c:\\windows\\system32\\', 'name': 'reader_sl.exe', 'args': ['c:\\program files\\adobe\\reader 9.0\\reader\\reader_sl.exe'], 'hash': {'md5': '452fa961163ef4aee4815796a13ab2cf', 'sha256': '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7'}, 'entity_id': '{19fc45ac-753b-601c-0000-00100f990200}', 'executable': 'c:\\windows\\system32\\esentutl.exe', 'command_line': 'esentutl.exe /""m"" c:\\users\\<user>\\appdata\\local\\microsoft\\windows\\webcache\\webcachev01.dat /v""ss""rec v01 .', 'parent': {'entity_id': '{19fc45ac-753b-601c-0000-001083660200}', 'pid': 2096, 'executable': 'c:\\windows\\explorer.exe', 'command_line': 'c:\\windows\\explorer.exe', 'name': 'explorer.exe', 'args': ['c:\\windows\\explorer.exe']}}",False
7,"{'domain': 'nt authority', 'name': 'system'}","{'domain': 'breach', 'name': 'client3'}",False
8,"{'task': 'process create (rule: processcreate)', 'event_data': {'fileversion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'product': 'microsoft® windows® operating system', 'logonguid': '{19fc45ac-74c4-601c-0000-0020e7030000}', 'logonid': '0x3e7', 'integritylevel': 'system', 'terminalsessionid': '1', 'company': 'microsoft corporation', 'description': 'windows logon user interface host', 'originalfilename': 'logonui.exe'}, 'event_id': 1, 'computer_name': 'client', 'opcode': 'info', 'version': 5, 'record_id': 1199, 'user': {'domain': 'nt authority', 'type': 'user', 'identifier': 's-1-5-18', 'name': 'system'}, 'provider_name': 'microsoft-windows-sysmon', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'channel': 'microsoft-windows-sysmon/operational', 'api': 'wineventlog', 'process': {'pid': 1692, 'thread': {'id': 1064}}}","{'channel': 'microsoft-windows-sysmon/operational', 'event_id': 1, 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'user': {'identifier': 's-1-5-18', 'name': 'system', 'domain': 'nt authority', 'type': 'user'}, 'provider_name': 'microsoft-windows-sysmon', 'record_id': 1299, 'opcode': 'info', 'event_data': {'product': 'adobe acrobat', 'company': 'adobe systems incorporated', 'logonid': '0x251ae', 'terminalsessionid': '1', 'logonguid': '{19fc45ac-753a-601c-0000-0020ae510200}', 'fileversion': '9.1.0.2009022700', 'description': 'adobe acrobat speedlauncher', 'originalfilename': 'acrospeedlaunch.exe', 'integritylevel': 'medium'}, 'process': {'thread': {'id': 1812}, 'pid': 1536}, 'version': 5, 'task': 'process create (rule: processcreate)', 'api': 'wineventlog', 'computer_name': 'client3.breach.local'}",False
9,2021-02-04t22:27:34.187z,2021-02-04t22:36:26.218z,False
