Pair Index,Match File,Evasion File,Match Cmd,Evasion Cmd,Match Cmd Type,Evasion Cmd Type
5,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,"""LogonUI.exe"" /flags:0x0","""C:\Program Files\Adobe\Reader 9.0\Reader\reader_sl.exe""",Windows,Windows
6,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,"{'entity_id': '{19FC45AC-74D6-601C-0000-0010D56D0300}', 'command_line': 'esentutl.exe /m C:\\Users\\<user>\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat /vssrec V01 .', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'entity_id': '{19FC45AC-74C3-601C-0000-0010355C0000}', 'pid': 384, 'executable': 'C:\\Windows\\System32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}, 'name': 'LogonUI.exe', 'hash': {'md5': '3ef0d8ab08385aab5802e773511a2e6a', 'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6'}, 'pid': 2724, 'executable': 'C:\\Windows\\System32\\esentutl.exe', 'args': ['LogonUI.exe', '/flags:0x0']}","{'pid': 2356, 'working_directory': 'C:\\Windows\\system32\\', 'name': 'reader_sl.exe', 'args': ['C:\\Program Files\\Adobe\\Reader 9.0\\Reader\\reader_sl.exe'], 'hash': {'md5': '452fa961163ef4aee4815796a13ab2cf', 'sha256': '14dc422082f96f5c21c41a5e5f6e8445547cc4b02b18f0a86a34669ca2ce18a7'}, 'entity_id': '{19FC45AC-753B-601C-0000-00100F990200}', 'executable': 'C:\\Windows\\System32\\esentutl.exe', 'command_line': 'esentutl.exe /""m"" C:\\Users\\<user>\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat /v""ss""rec V01 .', 'parent': {'entity_id': '{19FC45AC-753B-601C-0000-001083660200}', 'pid': 2096, 'executable': 'C:\\Windows\\explorer.exe', 'command_line': 'C:\\Windows\\Explorer.EXE', 'name': 'explorer.exe', 'args': ['C:\\Windows\\Explorer.EXE']}}",Windows,Windows
15,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,"""LogonUI.exe"" /flags:0x0","""C:\Program Files\Python35-32\python.exe"" ""C:\BREACH\init_tbf_client.py""",Windows,Windows
16,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,"{'entity_id': '{19FC45AC-74D6-601C-0000-0010D56D0300}', 'command_line': 'esentutl.exe /m C:\\Users\\<user>\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat /vssrec V01 .', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'entity_id': '{19FC45AC-74C3-601C-0000-0010355C0000}', 'pid': 384, 'executable': 'C:\\Windows\\System32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}, 'name': 'LogonUI.exe', 'hash': {'md5': '3ef0d8ab08385aab5802e773511a2e6a', 'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6'}, 'pid': 2724, 'executable': 'C:\\Windows\\System32\\esentutl.exe', 'args': ['LogonUI.exe', '/flags:0x0']}","{'pid': 1696, 'command_line': 'cmd /c copy \\\\?\\GLOBALROOT\\Device\\HarddiskVolumeShadowCopy3\\Windows\\N""TDS\\NT""DS.dit C:\\temp\\system', 'working_directory': 'C:\\BREACH\\', 'name': 'python.exe', 'hash': {'md5': 'edc79826e21859e93a875dfc087606c5', 'sha256': 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e'}, 'entity_id': '{19FC45AC-76EA-601C-0000-00107D720100}', 'executable': 'C:\\Windows\\System32\\cmd.exe', 'parent': {'pid': 1596, 'executable': 'C:\\Windows\\py.exe', 'command_line': '""C:\\Windows\\py.exe"" ""C:\\BREACH\\init_tbf_client.py"" ', 'name': 'py.exe', 'args': ['C:\\Windows\\py.exe', 'C:\\BREACH\\init_tbf_client.py'], 'entity_id': '{19FC45AC-76EA-601C-0000-0010B36A0100}'}, 'args': ['C:\\Program Files\\Python35-32\\python.exe', 'C:\\BREACH\\init_tbf_client.py']}",Windows,Windows
25,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,"""LogonUI.exe"" /flags:0x0","""C:\Program Files\freeSSHd\FreeSSHDService.exe""",Windows,Windows
26,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,"{'entity_id': '{19FC45AC-74D6-601C-0000-0010D56D0300}', 'command_line': 'esentutl.exe /m C:\\Users\\<user>\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat /vssrec V01 .', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'entity_id': '{19FC45AC-74C3-601C-0000-0010355C0000}', 'pid': 384, 'executable': 'C:\\Windows\\System32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}, 'name': 'LogonUI.exe', 'hash': {'md5': '3ef0d8ab08385aab5802e773511a2e6a', 'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6'}, 'pid': 2724, 'executable': 'C:\\Windows\\System32\\esentutl.exe', 'args': ['LogonUI.exe', '/flags:0x0']}","{'entity_id': '{19FC45AC-76EA-601C-0000-00105A760100}', 'pid': 1716, 'executable': 'C:\\Windows\\System32\\esentutl.exe', 'command_line': 'esentutl.exe /""y"" C:\\Users\\<user>\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat /v""s""srec V01 . /""d"" c:\\exports\\webcachev01.dat', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'entity_id': '{19FC45AC-76E7-601C-0000-001081630000}', 'pid': 440, 'executable': 'C:\\Windows\\System32\\services.exe', 'command_line': 'C:\\Windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['C:\\Windows\\system32\\services.exe']}, 'name': 'FreeSSHDService.exe', 'args': ['C:\\Program Files\\freeSSHd\\FreeSSHDService.exe'], 'hash': {'md5': 'a25c33fb549d90018dbeec40bb07d543', 'sha256': '472168cf54a123ba0fc585b4b5fedbb60562b81b3ada7616ce9ca77ddb5c4914'}}",Windows,Windows
29,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,"""C:\Windows\system32\NOTEPAD.EXE"" C:\ProgramData\winlogbeat\logs\winlogbeat","""C:\Windows\Microsoft.NET\Framework\v2.0.50727\csc.exe"" /noconfig /fullpaths @""C:\Users\client2\AppData\Local\Temp\zyhczvr_.cmdline""",Windows,Windows
34,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,"{'entity_id': '{19FC45AC-5A6A-601C-0000-001084771000}', 'pid': 1344, 'command_line': 'cmd.exe /c assoc .txt = txtfile', 'working_directory': 'C:\\ProgramData\\winlogbeat\\logs\\', 'executable': 'C:\\Windows\\System32\\notepad.exe', 'parent': {'entity_id': '{19FC45AC-5A69-601C-0000-001089681000}', 'pid': 3212, 'executable': 'C:\\Windows\\System32\\rundll32.exe', 'command_line': '""C:\\Windows\\system32\\rundll32.exe"" C:\\Windows\\system32\\shell32.dll,OpenAs_RunDLL C:\\ProgramData\\winlogbeat\\logs\\winlogbeat', 'name': 'rundll32.exe', 'args': ['C:\\Windows\\system32\\rundll32.exe', 'C:\\Windows\\system32\\shell32.dll,OpenAs_RunDLL', 'C:\\ProgramData\\winlogbeat\\logs\\winlogbeat']}, 'name': 'notepad.exe', 'args': ['C:\\Windows\\system32\\NOTEPAD.EXE', 'C:\\ProgramData\\winlogbeat\\logs\\winlogbeat'], 'hash': {'md5': 'd378bffb70923139d6a4f546864aa61c', 'sha256': 'c4232ddd4d37b9c0884bd44d8476578c54d7f98d58945728e425736a6a07e102'}}","{'command_line': 'c""m""d /c assoc .txt=txtfile', 'working_directory': 'C:\\Users\\client2\\AppData\\Local\\Temp\\SDIAG_48f926c1-3306-4e3d-8c87-5812d0551052\\', 'parent': {'entity_id': '{19FC45AC-7C94-601C-0000-0010BA1B0C00}', 'pid': 4028, 'executable': 'C:\\Windows\\System32\\sdiagnhost.exe', 'command_line': 'C:\\Windows\\System32\\sdiagnhost.exe -Embedding', 'name': 'sdiagnhost.exe', 'args': ['C:\\Windows\\System32\\sdiagnhost.exe', '-Embedding']}, 'name': 'csc.exe', 'args': ['C:\\Windows\\Microsoft.NET\\Framework\\v2.0.50727\\csc.exe', '/noconfig', '/fullpaths', '@C:\\Users\\client2\\AppData\\Local\\Temp\\zyhczvr_.cmdline'], 'entity_id': '{19FC45AC-7C95-601C-0000-001036270C00}', 'pid': 3988, 'executable': 'C:\\Windows\\Microsoft.NET\\Framework\\v2.0.50727\\csc.exe', 'hash': {'sha256': '037fc52b8fc6089338eb456f2b45638ed36c42a4dca7ace391d166b2329838a1', 'md5': '3d7d2e825c63ff501e896cf008c70d75'}}",Windows,Windows
39,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,"""C:\Windows\system32\NOTEPAD.EXE"" C:\ProgramData\winlogbeat\logs\winlogbeat","""C:\Program Files\NetTime\NetTimeService.exe""",Windows,Windows
44,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,"{'entity_id': '{19FC45AC-5A6A-601C-0000-001084771000}', 'pid': 1344, 'command_line': 'cmd.exe /c assoc .txt = txtfile', 'working_directory': 'C:\\ProgramData\\winlogbeat\\logs\\', 'executable': 'C:\\Windows\\System32\\notepad.exe', 'parent': {'entity_id': '{19FC45AC-5A69-601C-0000-001089681000}', 'pid': 3212, 'executable': 'C:\\Windows\\System32\\rundll32.exe', 'command_line': '""C:\\Windows\\system32\\rundll32.exe"" C:\\Windows\\system32\\shell32.dll,OpenAs_RunDLL C:\\ProgramData\\winlogbeat\\logs\\winlogbeat', 'name': 'rundll32.exe', 'args': ['C:\\Windows\\system32\\rundll32.exe', 'C:\\Windows\\system32\\shell32.dll,OpenAs_RunDLL', 'C:\\ProgramData\\winlogbeat\\logs\\winlogbeat']}, 'name': 'notepad.exe', 'args': ['C:\\Windows\\system32\\NOTEPAD.EXE', 'C:\\ProgramData\\winlogbeat\\logs\\winlogbeat'], 'hash': {'md5': 'd378bffb70923139d6a4f546864aa61c', 'sha256': 'c4232ddd4d37b9c0884bd44d8476578c54d7f98d58945728e425736a6a07e102'}}","{'parent': {'entity_id': '{19FC45AC-7527-601C-0000-00104B610000}', 'pid': 444, 'executable': 'C:\\Windows\\System32\\services.exe', 'command_line': 'C:\\Windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['C:\\Windows\\system32\\services.exe']}, 'name': 'NetTimeService.exe', 'hash': {'md5': '94c08df0f07c509d99fea7cfc486c335', 'sha256': '0aae40d7b5d57aed2a897161601a08123e64088033b03527dc1ba2b55e7a4e9a'}, 'entity_id': '{19FC45AC-752A-601C-0000-00105F360100}', 'executable': 'C:\\Program Files\\NetTime\\NetTimeService.exe', 'command_line': 'c""m""d.exe /""c"" assoc .bak= ', 'working_directory': 'C:\\Windows\\system32\\', 'args': ['C:\\Program Files\\NetTime\\NetTimeService.exe'], 'pid': 1472}",Windows,Windows
